3661,世芯-KY,上市,ASIC晶片設計服務與矽智財
3443,創意,上市,ASIC晶片設計服務與矽智財
3035,智原,上市,ASIC晶片設計服務與矽智財
3529,力旺,上市,ASIC晶片設計服務與矽智財
6643,M31,上市,ASIC晶片設計服務與矽智財
6533,晶心科,上櫃,ASIC晶片設計服務與矽智財
6531,愛普*,上市,ASIC晶片設計服務與矽智財
8227,巨有科技,上櫃,ASIC晶片設計服務與矽智財
6423,億而得,上櫃,ASIC晶片設計服務與矽智財
4925,智微,上櫃,ASIC晶片設計服務與矽智財
6786,芯測,上櫃,ASIC晶片設計服務與矽智財
6695,芯鼎,上櫃,ASIC晶片設計服務與矽智財
4953,緯致,上櫃,ASIC晶片設計服務與矽智財
2454,聯發科,上市,網通與通訊SoC
2379,瑞昱,上市,網通與通訊SoC
5274,信驊,上櫃,網通與通訊SoC
6526,達發,上市,網通與通訊SoC
4968,立積,上市,網通與通訊SoC
6568,宏觀,上櫃,網通與通訊SoC
3094,聯傑,上市,網通與通訊SoC
3169,亞信,上櫃,網通與通訊SoC
5272,笙科,上櫃,網通與通訊SoC
6708,天擎,上櫃,網通與通訊SoC
3150,鈺寶,上櫃,網通與通訊SoC
3034,聯詠,上市,面板驅動與顯示IC
3592,瑞鼎,上市,面板驅動與顯示IC
4961,天鈺,上市,面板驅動與顯示IC
8016,矽創,上市,面板驅動與顯示IC
3545,敦泰,上市,面板驅動與顯示IC
3141,晶宏,上市,面板驅動與顯示IC
3527,聚積,上市,面板驅動與顯示IC
3288,點晶,上櫃,面板驅動與顯示IC
6996,力領科技,上市,面板驅動與顯示IC
6927,聯合聚晶,上櫃,面板驅動與顯示IC
4966,譜瑞-KY,上市,高速傳輸與PC週邊
5269,祥碩,上市,高速傳輸與PC週邊
6104,創惟,上市,高速傳輸與PC週邊
6756,威鋒電子,上市,高速傳輸與PC週邊
6684,安格,上櫃,高速傳輸與PC週邊
6233,旺玖,上市,高速傳輸與PC週邊
6243,迅杰,上市,高速傳輸與PC週邊
4951,精拓科,上櫃,高速傳輸與PC週邊
6594,展匯科,上櫃,高速傳輸與PC週邊
6231,系微,上櫃,高速傳輸與PC週邊
3228,金麗科,上櫃,高速傳輸與PC週邊
6415,矽力*-KY,上市,電源管理與功率類比IC
6138,茂達,上市,電源管理與功率類比IC
8081,致新,上市,電源管理與功率類比IC
5299,杰力,上櫃,電源管理與功率類比IC
3588,通嘉,上市,電源管理與功率類比IC
3438,類比科,上市,電源管理與功率類比IC
8261,富鼎,上市,電源管理與功率類比IC
6435,大中,上市,電源管理與功率類比IC
3317,尼克森,上市,電源管理與功率類比IC
3257,虹冠電,上市,電源管理與功率類比IC
4923,力士,上市,電源管理與功率類比IC
4945,陞達科技,上櫃,電源管理與功率類比IC
6457,紘康,上櫃,電源管理與功率類比IC
8299,群聯,上市,記憶體控制與MCU消費性IC
6485,點序,上櫃,記憶體控制與MCU消費性IC
3006,晶豪科,上市,記憶體控制與MCU消費性IC
5351,鈺創,上市,記憶體控制與MCU消費性IC
4919,新唐,上市,記憶體控制與MCU消費性IC
6202,盛群,上市,記憶體控制與MCU消費性IC
5471,松翰,上市,記憶體控制與MCU消費性IC
4952,凌通,上市,記憶體控制與MCU消費性IC
3014,聯陽,上市,記憶體控制與MCU消費性IC
2458,義隆,上市,記憶體控制與MCU消費性IC
3227,原相,上市,記憶體控制與MCU消費性IC
6732,昇佳電子,上櫃,記憶體控制與MCU消費性IC
6411,晶焱,上市,記憶體控制與MCU消費性IC
2436,偉詮電,上市,記憶體控制與MCU消費性IC
8054,安國,上櫃,記憶體控制與MCU消費性IC
2388,威盛,上市,記憶體控制與MCU消費性IC
2401,凌陽,上市,記憶體控制與MCU消費性IC
2363,矽統,上市,記憶體控制與MCU消費性IC
3041,揚智,上市,記憶體控制與MCU消費性IC
3122,笙泉,上櫃,記憶體控制與MCU消費性IC
6716,應廣,上櫃,記憶體控制與MCU消費性IC
6494,九齊,上櫃,記憶體控制與MCU消費性IC
3530,晶相光,上櫃,記憶體控制與MCU消費性IC
3556,禾瑞亞,上櫃,記憶體控制與MCU消費性IC
6462,神盾,上櫃,記憶體控制與MCU消費性IC
8024,佑華,上櫃,記憶體控制與MCU消費性IC
6229,研通,上櫃,記憶體控制與MCU消費性IC
6237,驊訊,上櫃,記憶體控制與MCU消費性IC
5487,通泰,上櫃,記憶體控制與MCU消費性IC
5468,凱鈺,上櫃,記憶體控制與MCU消費性IC
5302,太欣,上市,記憶體控制與MCU消費性IC
8040,九暘,上櫃,記憶體控制與MCU消費性IC
